dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
HR_Attrition,ActiveLearning,50,0.1308,0.0769,0.1275,0.0,0.3846,0.2274,0.127,0.2484,0.0,0.8,0.2352,0.226,0.0543,0.1492,0.3739,0.0858,0.0913,0.0544,0.0059,0.2304,3.4,1470,8.55,13
HR_Attrition,ActiveLearning,100,0.3731,0.3846,0.1461,0.0769,0.5385,0.559,0.5982,0.247,0.125,1.0,0.1347,0.131,0.0441,0.0777,0.2386,0.0539,0.0544,0.033,0.0057,0.1316,6.8,1470,8.95,13
HR_Attrition,ActiveLearning,200,0.6115,0.6154,0.1308,0.3846,0.8462,0.6899,0.6833,0.1997,0.2778,1.0,0.0696,0.0636,0.0305,0.02,0.1229,0.0346,0.0367,0.0254,0.0014,0.0904,13.61,1470,12.0,13
HR_Attrition,ActiveLearning,250,0.6769,0.6923,0.151,0.3846,1.0,0.768,0.8322,0.1876,0.4167,1.0,0.0588,0.057,0.0385,0.0,0.1286,0.023,0.0133,0.0208,0.0004,0.0654,17.01,1470,11.7,13
HR_Attrition,Clustering,50,0.0423,0.0,0.0635,0.0,0.1538,0.035,0.0,0.0685,0.0,0.2222,0.2546,0.2336,0.0594,0.1873,0.3953,0.0423,0.0249,0.036,0.0017,0.1326,3.4,1470,14.65,13
HR_Attrition,Clustering,100,0.1077,0.0769,0.0914,0.0,0.3077,0.1079,0.125,0.0793,0.0,0.25,0.2305,0.2318,0.0431,0.147,0.3184,0.0374,0.0278,0.0288,0.0067,0.1136,6.8,1470,12.45,13
HR_Attrition,Clustering,200,0.1269,0.1154,0.08,0.0,0.3077,0.1802,0.1484,0.1599,0.0,0.6667,0.203,0.2128,0.0468,0.106,0.2981,0.0706,0.0502,0.0603,0.0001,0.1991,13.61,1470,10.55,13
HR_Attrition,Clustering,250,0.1615,0.1538,0.0745,0.0769,0.3077,0.2333,0.2071,0.143,0.0714,0.6,0.1761,0.1768,0.0418,0.1068,0.2759,0.105,0.1064,0.0555,0.0046,0.2258,17.01,1470,10.35,13
HR_Attrition,Diversity,50,0.1308,0.1538,0.0665,0.0,0.2308,0.1829,0.1742,0.0894,0.0,0.3333,0.1995,0.1942,0.0283,0.1639,0.2854,0.115,0.0967,0.0657,0.007,0.2455,3.4,1470,10.5,13
HR_Attrition,Diversity,100,0.1846,0.1538,0.1011,0.0769,0.3846,0.1832,0.1742,0.0806,0.0833,0.3636,0.1648,0.1624,0.0187,0.1277,0.2016,0.1218,0.1281,0.0493,0.018,0.211,6.8,1470,12.85,13
HR_Attrition,Diversity,200,0.3192,0.3077,0.1037,0.1538,0.5385,0.3263,0.3205,0.1016,0.1333,0.4545,0.1386,0.1407,0.0253,0.0931,0.1763,0.118,0.1175,0.0295,0.0439,0.1685,13.61,1470,12.8,13
HR_Attrition,Diversity,250,0.3731,0.3462,0.1037,0.2308,0.6154,0.3679,0.3636,0.1188,0.2,0.625,0.1206,0.1244,0.0284,0.0787,0.1657,0.0978,0.1037,0.0273,0.0469,0.1454,17.01,1470,13.7,13
HR_Attrition,LHS,50,0.0385,0.0,0.0636,0.0,0.2308,0.0547,0.0,0.1067,0.0,0.375,0.2414,0.2366,0.0494,0.1709,0.3436,0.063,0.0433,0.0493,0.0074,0.2011,3.4,1470,9.45,13
HR_Attrition,LHS,100,0.0231,0.0,0.0362,0.0,0.0769,0.0331,0.0,0.0566,0.0,0.1667,0.2045,0.1956,0.0409,0.1438,0.3074,0.0493,0.0381,0.0357,0.0041,0.1316,6.8,1470,10.85,13
HR_Attrition,LHS,200,0.1115,0.0769,0.1043,0.0,0.3077,0.1259,0.0861,0.1262,0.0,0.3636,0.1558,0.1484,0.023,0.1211,0.2132,0.0881,0.095,0.0523,0.0058,0.1759,13.61,1470,12.2,13
HR_Attrition,LHS,250,0.1154,0.0769,0.1102,0.0,0.3846,0.126,0.0769,0.1318,0.0,0.4545,0.1586,0.1577,0.0163,0.117,0.1889,0.079,0.0908,0.0411,0.0251,0.1775,17.01,1470,13.25,13
HR_Attrition,Random,50,0.0654,0.0769,0.0516,0.0,0.1538,0.1858,0.1099,0.1974,0.0,0.5,0.311,0.282,0.1004,0.1806,0.5452,0.1191,0.1019,0.1098,0.0063,0.4866,3.4,1470,8.3,13
