method,sample_size,recall_mean,recall_median,recall_std,precision_mean,precision_median,precision_std,igd_mean,igd_median,igd_std,hv_diff_mean,hv_diff_median,hv_diff_std
ActiveLearning,50,0.1519,0.0,0.2347,0.1848,0.0,0.2865,0.1454,0.1211,0.141,0.107,0.0322,0.1444
ActiveLearning,100,0.2278,0.1374,0.2754,0.3033,0.1667,0.3582,0.1012,0.0582,0.0969,0.0677,0.0154,0.1095
ActiveLearning,200,0.3229,0.2857,0.2993,0.4388,0.3371,0.3894,0.0742,0.0449,0.0738,0.0432,0.0163,0.0694
ActiveLearning,250,0.3862,0.3333,0.3204,0.5173,0.5,0.3886,0.0646,0.0267,0.0725,0.0356,0.0105,0.0581
Clustering,50,0.168,0.0,0.2441,0.145,0.0,0.2497,0.1304,0.0799,0.1325,0.1115,0.014,0.1859
Clustering,100,0.2086,0.1429,0.2575,0.2937,0.1667,0.3396,0.1235,0.0599,0.1426,0.082,0.0105,0.1454
Clustering,200,0.3514,0.2857,0.2743,0.4316,0.4009,0.3252,0.0987,0.0755,0.097,0.039,0.0082,0.0752
Clustering,250,0.4196,0.3879,0.2893,0.5066,0.4466,0.348,0.0844,0.0645,0.0806,0.0383,0.0157,0.0561
Diversity,50,0.14,0.0769,0.16,0.2962,0.1667,0.3397,0.1174,0.1102,0.1022,0.0567,0.021,0.0774
Diversity,100,0.2176,0.1429,0.2077,0.3913,0.3505,0.3549,0.1018,0.0551,0.0934,0.0492,0.0236,0.0571
Diversity,200,0.308,0.2857,0.247,0.4389,0.4545,0.3347,0.0658,0.0309,0.0644,0.0347,0.0065,0.0475
Diversity,250,0.342,0.3333,0.2427,0.4554,0.5151,0.3301,0.0563,0.0182,0.06,0.0322,0.0054,0.0447
LHS,50,0.1059,0.0,0.154,0.169,0.0,0.2718,0.1383,0.0996,0.1306,0.0976,0.0269,0.1482
LHS,100,0.1311,0.0,0.1807,0.212,0.0,0.2994,0.1063,0.0449,0.1001,0.0651,0.0162,0.107
LHS,200,0.2206,0.1484,0.2368,0.3329,0.2727,0.3456,0.0826,0.0596,0.074,0.0378,0.019,0.0447
LHS,250,0.2679,0.2639,0.2592,0.3791,0.3741,0.3685,0.0779,0.0449,0.0717,0.0381,0.0195,0.0439
Random,50,0.1506,0.0233,0.2123,0.185,0.0202,0.2776,0.1415,0.0953,0.134,0.1144,0.0271,0.1685
Random,100,0.2374,0.1538,0.2572,0.2986,0.2053,0.3336,0.1168,0.0755,0.1173,0.0951,0.0222,0.1412
Random,200,0.2721,0.25,0.2437,0.3452,0.3333,0.3196,0.0972,0.0577,0.1029,0.0782,0.0192,0.132
Random,250,0.3121,0.2857,0.2548,0.3915,0.3333,0.3376,0.0902,0.0387,0.0984,0.0689,0.0158,0.1261
Sobol,50,0.1062,0.0,0.1647,0.1546,0.0,0.2651,0.1328,0.0905,0.1285,0.0999,0.0209,0.1551
Sobol,100,0.1157,0.0616,0.1496,0.2207,0.0801,0.3063,0.1106,0.056,0.1031,0.0579,0.013,0.099
Sobol,200,0.2134,0.1672,0.2174,0.3286,0.2225,0.3514,0.0873,0.0792,0.0788,0.0464,0.0191,0.0619
Sobol,250,0.2641,0.262,0.2605,0.3761,0.3333,0.3672,0.0796,0.0615,0.0712,0.0384,0.0195,0.0439
Stratified,50,0.168,0.0676,0.2211,0.1992,0.0364,0.286,0.1347,0.0933,0.1318,0.1083,0.0161,0.1619
Stratified,100,0.2092,0.1538,0.2269,0.273,0.1667,0.3229,0.113,0.0586,0.1145,0.0882,0.0175,0.1321
Stratified,200,0.2605,0.25,0.2339,0.3466,0.267,0.3323,0.0978,0.0661,0.1072,0.0747,0.0148,0.1228
Stratified,250,0.3171,0.3056,0.2432,0.3975,0.3977,0.3205,0.0793,0.0331,0.0849,0.0606,0.0173,0.1007
