dataset,method,sample_pct,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,pred_pf_size_mean,true_pf_size_first
SS-A,ActiveLearning,5,0.0833,0.0,0.2388,0.0,1.0,0.1088,0.0,0.3073,0.0,1.0,0.0131,0.0166,0.006,0.0016,0.0183,0.0001,0.0,0.0002,0.0,0.0007,3.05,3
SS-A,ActiveLearning,10,0.0667,0.0,0.1744,0.0,0.6667,0.1,0.0,0.2616,0.0,1.0,0.0096,0.0065,0.0057,0.0018,0.0183,0.0,0.0,0.0001,0.0,0.0005,3.3,3
SS-A,ActiveLearning,20,0.15,0.0,0.2531,0.0,0.6667,0.1917,0.0,0.3345,0.0,1.0,0.0089,0.0071,0.0051,0.0033,0.0183,0.0,0.0,0.0,0.0,0.0,3.5,3
SS-A,ActiveLearning,30,0.2167,0.0,0.3111,0.0,1.0,0.2492,0.0,0.3813,0.0,1.0,0.0082,0.0074,0.0038,0.004,0.0183,0.0,0.0,0.0,0.0,0.0,3.8,3
SS-A,Clustering,5,0.05,0.0,0.2236,0.0,1.0,0.0065,0.0,0.0292,0.0,0.1304,0.005,0.0055,0.0025,0.0011,0.0127,0.0,0.0,0.0,0.0,0.0,9.95,3
SS-A,Clustering,10,0.2333,0.0,0.3262,0.0,1.0,0.1079,0.0,0.2284,0.0,1.0,0.0086,0.0064,0.0066,0.0011,0.0183,0.0,0.0,0.0,0.0,0.0001,9.6,3
SS-A,Clustering,20,0.6333,0.6667,0.1026,0.3333,0.6667,0.3583,0.4,0.141,0.1667,0.5,0.0045,0.004,0.0015,0.004,0.0104,0.0,0.0,0.0,0.0,0.0,6.55,3
SS-A,Clustering,30,0.1333,0.0,0.2942,0.0,1.0,0.0473,0.0,0.1007,0.0,0.3333,0.007,0.006,0.0037,0.0029,0.018,0.0,0.0,0.0,0.0,0.0001,6.8,3
SS-A,Diversity,5,0.0333,0.0,0.1491,0.0,0.6667,0.02,0.0,0.0894,0.0,0.4,0.0145,0.0156,0.0045,0.0061,0.0183,0.0,0.0,0.0,0.0,0.0,1.9,3
SS-A,Diversity,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0154,0.0056,0.0033,0.0183,0.0,0.0,0.0,0.0,0.0001,2.05,3
SS-A,Diversity,20,0.1333,0.0,0.2269,0.0,0.6667,0.1162,0.0,0.2424,0.0,1.0,0.0099,0.0075,0.0056,0.0037,0.0183,0.0,0.0,0.0,0.0,0.0001,5.25,3
SS-A,Diversity,30,0.15,0.0,0.2016,0.0,0.6667,0.0912,0.0,0.1207,0.0,0.25,0.011,0.0087,0.0062,0.0032,0.0183,0.0,0.0,0.0,0.0,0.0001,6.05,3
SS-A,LHS,5,0.0167,0.0,0.0745,0.0,0.3333,0.05,0.0,0.2236,0.0,1.0,0.0151,0.0183,0.0046,0.0061,0.0183,0.0,0.0,0.0,0.0,0.0,1.4,3
SS-A,LHS,10,0.05,0.0,0.2236,0.0,1.0,0.0017,0.0,0.0076,0.0,0.0341,0.0142,0.0183,0.0058,0.0018,0.0183,0.0,0.0,0.0,0.0,0.0001,14.45,3
SS-A,LHS,20,0.25,0.0,0.3222,0.0,1.0,0.1337,0.0,0.2208,0.0,0.75,0.0099,0.0093,0.0047,0.0022,0.0183,0.0,0.0,0.0,0.0,0.0001,8.25,3
SS-A,LHS,30,0.3167,0.3333,0.2957,0.0,1.0,0.3375,0.3333,0.2816,0.0,0.75,0.0075,0.0081,0.0028,0.0005,0.0104,0.0,0.0,0.0,0.0,0.0,3.35,3
SS-A,NSGA-II,5,0.2667,0.3333,0.2052,0.0,0.6667,0.3408,0.3333,0.2995,0.0,1.0,0.0145,0.014,0.0098,0.0002,0.0375,0.0171,0.0114,0.0168,0.0002,0.0506,2.8,3
SS-A,NSGA-II,10,0.35,0.3333,0.2752,0.0,1.0,0.4542,0.4167,0.3722,0.0,1.0,0.0098,0.0068,0.0067,0.0,0.0238,0.0133,0.0094,0.0126,0.0,0.0379,3.0,3
SS-A,NSGA-II,20,0.6667,0.6667,0.2163,0.3333,1.0,0.7768,1.0,0.298,0.25,1.0,0.0031,0.004,0.0019,0.0,0.0062,0.0043,0.0002,0.005,0.0,0.011,2.85,3
SS-A,NSGA-II,30,0.9167,1.0,0.1481,0.6667,1.0,0.975,1.0,0.1118,0.5,1.0,0.0008,0.0,0.0017,0.0,0.004,0.0006,0.0,0.0025,0.0,0.011,2.85,3
SS-A,NoModel,5,0.0333,0.0,0.1026,0.0,0.3333,0.075,0.0,0.2447,0.0,1.0,0.0325,0.0273,0.0152,0.0062,0.0592,0.0442,0.0413,0.0169,0.011,0.0715,2.65,3
SS-A,NoModel,10,0.0167,0.0,0.0745,0.0,0.3333,0.025,0.0,0.1118,0.0,0.5,0.0246,0.0214,0.0118,0.0085,0.0599,0.0346,0.0333,0.0149,0.008,0.0714,3.25,3
SS-A,NoModel,20,0.1833,0.0,0.2288,0.0,0.6667,0.2058,0.0,0.284,0.0,1.0,0.0115,0.0086,0.0071,0.004,0.0266,0.0153,0.011,0.0125,0.0002,0.0406,3.2,3
SS-A,NoModel,30,0.3167,0.3333,0.1701,0.0,0.6667,0.3517,0.2917,0.2415,0.0,1.0,0.0105,0.0083,0.0074,0.0028,0.0303,0.0151,0.0112,0.0115,0.0,0.0439,3.05,3
SS-A,Random,5,0.05,0.0,0.1221,0.0,0.3333,0.1167,0.0,0.3111,0.0,1.0,0.0118,0.0099,0.0048,0.0053,0.0183,0.0001,0.0,0.0002,0.0,0.0008,3.1,3
SS-A,Random,10,0.1667,0.0,0.2757,0.0,1.0,0.145,0.0,0.2234,0.0,0.75,0.0093,0.0085,0.0044,0.0041,0.0183,0.0,0.0,0.0,0.0,0.0001,3.5,3
SS-A,Random,20,0.2167,0.1667,0.2709,0.0,1.0,0.2583,0.1667,0.2985,0.0,1.0,0.0082,0.0095,0.0032,0.0038,0.0135,0.0,0.0,0.0,0.0,0.0001,2.9,3
SS-A,Random,30,0.35,0.3333,0.2752,0.0,1.0,0.325,0.25,0.2836,0.0,1.0,0.0071,0.0071,0.0031,0.0022,0.0125,0.0,0.0,0.0,0.0,0.0,3.55,3
SS-A,SWAY,5,0.35,0.1667,0.4254,0.0,1.0,0.3583,0.1667,0.4233,0.0,1.0,0.019,0.0166,0.0187,0.0,0.0748,0.0253,0.0262,0.0238,0.0,0.0855,3.0,3
SS-A,SWAY,10,0.6167,1.0,0.487,0.0,1.0,0.6167,1.0,0.487,0.0,1.0,0.0071,0.0,0.0091,0.0,0.0213,0.0109,0.0,0.0139,0.0,0.0315,2.9,3
SS-A,SWAY,20,0.75,1.0,0.4443,0.0,1.0,0.75,1.0,0.4443,0.0,1.0,0.004,0.0,0.0071,0.0,0.0186,0.0065,0.0,0.0115,0.0,0.0278,3.0,3
SS-A,SWAY,30,0.95,1.0,0.2236,0.0,1.0,0.95,1.0,0.2236,0.0,1.0,0.0008,0.0,0.0036,0.0,0.0162,0.0012,0.0,0.0055,0.0,0.0246,3.0,3
SS-A,Sobol,5,0.05,0.0,0.2236,0.0,1.0,0.001,0.0,0.0044,0.0,0.0197,0.0168,0.0183,0.004,0.0046,0.0183,0.0,0.0,0.0,0.0,0.0001,8.7,3
SS-A,Sobol,10,0.05,0.0,0.2236,0.0,1.0,0.0017,0.0,0.0076,0.0,0.0341,0.0131,0.0183,0.0063,0.0017,0.0183,0.0,0.0,0.0,0.0,0.0,10.1,3
SS-A,Sobol,20,0.1333,0.0,0.2942,0.0,1.0,0.0279,0.0,0.0695,0.0,0.2857,0.0107,0.0089,0.0057,0.0032,0.0183,0.0,0.0,0.0,0.0,0.0001,8.05,3
SS-A,Sobol,30,0.25,0.3333,0.2388,0.0,0.6667,0.3,0.3333,0.2682,0.0,0.6667,0.0081,0.0081,0.0021,0.004,0.0104,0.0,0.0,0.0,0.0,0.0,3.4,3
SS-A,Stratified,5,0.0833,0.0,0.1834,0.0,0.6667,0.1225,0.0,0.308,0.0,1.0,0.0132,0.018,0.006,0.0038,0.0183,0.0,0.0,0.0,0.0,0.0,2.65,3
SS-A,Stratified,10,0.1833,0.0,0.2531,0.0,0.6667,0.1583,0.0,0.2549,0.0,1.0,0.0108,0.0099,0.0049,0.0032,0.0183,0.0,0.0,0.0,0.0,0.0001,3.0,3
SS-A,Stratified,20,0.2,0.3333,0.1994,0.0,0.6667,0.2042,0.25,0.205,0.0,0.5,0.0084,0.0083,0.0044,0.0018,0.0181,0.0,0.0,0.0,0.0,0.0001,3.35,3
SS-A,Stratified,30,0.3667,0.3333,0.2394,0.0,0.6667,0.4196,0.3333,0.3508,0.0,1.0,0.0071,0.0058,0.0046,0.001,0.0183,0.0,0.0,0.0,0.0,0.0001,3.25,3
SS-B,ActiveLearning,5,0.075,0.0,0.2447,0.0,1.0,0.0556,0.0,0.2237,0.0,1.0,0.0479,0.0431,0.0202,0.0335,0.1216,0.0031,0.0001,0.0068,0.0001,0.024,3.25,2
