dataset,method,sample_pct,n_samples,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,Random,5,19,0.1538461538461538,0.0625,0.2185129329833641,0.0283737024221452,32,13,0
auto93,Random,5,19,0.2307692307692307,0.12,0.142899445015122,0.0538585209003215,25,13,1
auto93,Random,5,19,0.2307692307692307,0.1666666666666666,0.2825020594060185,0.0637288919731667,18,13,2
auto93,Random,5,19,0.3076923076923077,0.2666666666666666,0.294068775188193,0.0042484785853715,15,13,3
auto93,Random,5,19,0.5384615384615384,0.0666666666666666,0.1940677671678805,0.1467730742539902,105,13,4
auto93,Random,5,19,0.0,0.0,0.4711571870558889,0.1528706479133042,1,13,5
auto93,Random,5,19,0.2307692307692307,0.0588235294117647,0.1318414340594422,0.1183905380333952,51,13,6
auto93,Random,5,19,0.0769230769230769,0.0714285714285714,0.1341985683959865,0.0747470101195953,14,13,7
auto93,Random,5,19,0.0769230769230769,0.0526315789473684,0.1703925547491944,0.1230822470873226,19,13,8
auto93,Random,5,19,0.0769230769230769,0.0769230769230769,0.1528620997228539,0.0272495361781075,13,13,9
auto93,Random,5,19,0.4615384615384615,0.1666666666666666,0.1309876440542386,0.1071387249797523,36,13,10
auto93,Random,5,19,0.2307692307692307,0.1,0.1427445529362694,0.0923629621045313,30,13,11
auto93,Random,5,19,0.5384615384615384,0.21875,0.2285715143513223,0.1434691987031034,32,13,12
auto93,Random,5,19,0.0769230769230769,0.1666666666666666,0.3192933829737299,0.1947976878612716,6,13,13
auto93,Random,5,19,0.2307692307692307,0.3,0.1672307570387832,0.0506094022054556,10,13,14
auto93,Random,5,19,0.2307692307692307,0.0434782608695652,0.1573212918463975,0.1594607159460717,69,13,15
auto93,Random,5,19,0.6923076923076923,0.0825688073394495,0.176072912479181,0.1859093012494215,109,13,16
auto93,Random,5,19,0.0,0.0,0.2860784427337668,0.3611272179056013,35,13,17
auto93,Random,5,19,0.0,0.0,0.3444267607967524,0.0472376973073351,3,13,18
auto93,Random,5,19,0.0769230769230769,0.1111111111111111,0.1764659868204394,0.0529656127394412,9,13,19
auto93,Random,10,39,0.6153846153846154,0.2352941176470588,0.1455255011105815,0.0289270485190733,34,13,0
auto93,Random,10,39,0.2307692307692307,0.1578947368421052,0.1424217742270601,0.0106914584543869,19,13,1
auto93,Random,10,39,0.3076923076923077,0.2666666666666666,0.1328096256024311,0.0999419616947184,15,13,2
auto93,Random,10,39,0.2307692307692307,0.1875,0.1394626557602987,0.0383052814857807,16,13,3
auto93,Random,10,39,0.2307692307692307,0.1578947368421052,0.1729693208156597,0.0859038528692818,19,13,4
auto93,Random,10,39,0.1538461538461538,0.6666666666666666,0.2542955754924494,0.1500985964505277,3,13,5
auto93,Random,10,39,0.2307692307692307,0.2142857142857142,0.1598085381584828,0.0637243604517169,14,13,6
auto93,Random,10,39,0.4615384615384615,0.2857142857142857,0.1528124200445885,0.0107204610951008,21,13,7
auto93,Random,10,39,0.0,0.0,0.1591538931897395,0.0380996631432223,12,13,8
auto93,Random,10,39,0.1538461538461538,0.08,0.1185049023908783,0.0323290845886443,25,13,9
auto93,Random,10,39,0.1538461538461538,0.1818181818181818,0.1889588001292963,0.0068791561568448,11,13,10
auto93,Random,10,39,0.3076923076923077,0.1739130434782608,0.1177940658206891,0.024322766570605,23,13,11
auto93,Random,10,39,0.6153846153846154,0.2352941176470588,0.1466705864715752,0.1079768786127168,34,13,12
auto93,Random,10,39,0.1538461538461538,0.0666666666666666,0.1846538978309354,0.0694039426105214,30,13,13
auto93,Random,10,39,0.1538461538461538,0.25,0.2250149292706399,0.106899341268924,8,13,14
