dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
SS-A,ActiveLearning,50,0.0333,0.0,0.1491,0.0,0.6667,0.05,0.0,0.2236,0.0,1.0,0.0134,0.0145,0.0053,0.0017,0.0201,0.0002,0.0,0.0002,0.0,0.0007,3.72,1343,3.8,3
SS-A,ActiveLearning,100,0.0667,0.0,0.1368,0.0,0.3333,0.0571,0.0,0.1346,0.0,0.5,0.0111,0.0108,0.0055,0.0044,0.0211,0.0001,0.0,0.0003,0.0,0.0011,7.45,1343,4.3,3
SS-A,ActiveLearning,200,0.1333,0.0,0.2269,0.0,0.6667,0.1714,0.0,0.3256,0.0,1.0,0.0086,0.0062,0.0056,0.0031,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,3.45,3
SS-A,ActiveLearning,250,0.1333,0.0,0.1675,0.0,0.3333,0.1775,0.0,0.2793,0.0,1.0,0.0098,0.0101,0.0058,0.0011,0.0183,0.0,0.0,0.0,0.0,0.0001,18.62,1343,3.6,3
SS-A,Clustering,50,0.0833,0.0,0.2621,0.0,1.0,0.0058,0.0,0.018,0.0,0.0612,0.0048,0.0055,0.0017,0.0019,0.0087,0.0,0.0,0.0,0.0,0.0,3.72,1343,16.6,3
SS-A,Clustering,100,0.0333,0.0,0.1026,0.0,0.3333,0.1,0.0,0.3078,0.0,1.0,0.0068,0.0037,0.0058,0.0032,0.0183,0.0,0.0,0.0,0.0,0.0,7.45,1343,4.55,3
SS-A,Clustering,200,0.6667,0.6667,0.0,0.6667,0.6667,0.2083,0.1667,0.1863,0.1667,1.0,0.0041,0.0041,0.0,0.004,0.0041,0.0,0.0,0.0,0.0,0.0,14.89,1343,11.5,3
SS-A,Clustering,250,0.6667,0.6667,0.0,0.6667,0.6667,0.2917,0.1667,0.3053,0.1667,1.0,0.004,0.004,0.0,0.004,0.0041,0.0,0.0,0.0,0.0,0.0,18.62,1343,10.5,3
SS-A,Diversity,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165,0.0183,0.0038,0.0058,0.0183,0.0,0.0,0.0,0.0,0.0,3.72,1343,1.3,3
SS-A,Diversity,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0183,0.0057,0.0042,0.0183,0.0,0.0,0.0,0.0,0.0001,7.45,1343,1.7,3
SS-A,Diversity,200,0.1167,0.0,0.1957,0.0,0.6667,0.085,0.0,0.1365,0.0,0.3333,0.0117,0.0102,0.0046,0.0053,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,3.6,3
SS-A,Diversity,250,0.1667,0.0,0.2536,0.0,1.0,0.1302,0.0,0.1806,0.0,0.5,0.0107,0.0105,0.006,0.0032,0.0183,0.0,0.0,0.0,0.0,0.0001,18.62,1343,4.3,3
SS-A,LHS,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0183,0.0026,0.0068,0.0183,0.0,0.0,0.0,0.0,0.0001,3.72,1343,1.1,3
SS-A,LHS,100,0.1,0.0,0.3078,0.0,1.0,0.0016,0.0,0.005,0.0,0.0185,0.0124,0.0133,0.0062,0.0041,0.0183,0.0,0.0,0.0,0.0,0.0002,7.45,1343,46.85,3
SS-A,LHS,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0105,0.0053,0.0021,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,4.2,3
SS-A,LHS,250,0.05,0.0,0.1631,0.0,0.6667,0.0548,0.0,0.2235,0.0,1.0,0.01,0.0068,0.0065,0.0022,0.0183,0.0,0.0,0.0,0.0,0.0001,18.62,1343,6.25,3
SS-A,Random,50,0.05,0.0,0.1221,0.0,0.3333,0.125,0.0,0.3193,0.0,1.0,0.0134,0.0126,0.0056,0.0051,0.0244,0.0001,0.0,0.0002,0.0,0.0009,3.72,1343,2.9,3
SS-A,Random,100,0.1167,0.0,0.2236,0.0,0.6667,0.1153,0.0,0.2521,0.0,1.0,0.0093,0.0089,0.0054,0.0011,0.0183,0.0001,0.0,0.0001,0.0,0.0004,7.45,1343,4.0,3
SS-A,Random,200,0.25,0.3333,0.2836,0.0,1.0,0.2375,0.2917,0.2377,0.0,0.6667,0.0103,0.0093,0.0058,0.0019,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,3.6,3
SS-A,Random,250,0.2333,0.3333,0.1904,0.0,0.6667,0.2725,0.25,0.2696,0.0,1.0,0.0096,0.009,0.0043,0.004,0.0182,0.0,0.0,0.0,0.0,0.0001,18.62,1343,3.7,3
SS-A,Sobol,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0183,0.0,0.0183,0.0183,0.0,0.0,0.0,0.0,0.0,3.72,1343,1.0,3
SS-A,Sobol,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,0.0176,0.0051,0.0043,0.0183,0.0,0.0,0.0,0.0,0.0,7.45,1343,1.75,3
SS-A,Sobol,200,0.0167,0.0,0.0745,0.0,0.3333,0.0036,0.0,0.016,0.0,0.0714,0.01,0.0074,0.0061,0.002,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,4.55,3
SS-A,Sobol,250,0.05,0.0,0.1221,0.0,0.3333,0.0262,0.0,0.0786,0.0,0.3333,0.0085,0.0057,0.0064,0.0021,0.0183,0.0,0.0,0.0,0.0,0.0001,18.62,1343,7.85,3
SS-A,Stratified,50,0.1167,0.0,0.1957,0.0,0.6667,0.2143,0.0,0.3744,0.0,1.0,0.0127,0.0126,0.0057,0.0015,0.0183,0.0,0.0,0.0,0.0,0.0001,3.72,1343,2.4,3
SS-A,Stratified,100,0.0833,0.0,0.1481,0.0,0.3333,0.1542,0.0,0.3202,0.0,1.0,0.0105,0.0091,0.005,0.0045,0.0183,0.0,0.0,0.0,0.0,0.0001,7.45,1343,2.65,3
SS-A,Stratified,200,0.1667,0.1667,0.171,0.0,0.3333,0.1829,0.0625,0.2577,0.0,1.0,0.0078,0.0067,0.0043,0.0027,0.0183,0.0,0.0,0.0,0.0,0.0001,14.89,1343,3.5,3
SS-A,Stratified,250,0.3333,0.3333,0.1873,0.0,0.6667,0.43,0.5,0.2706,0.0,1.0,0.0101,0.0083,0.005,0.0041,0.0183,0.0,0.0,0.0,0.0,0.0001,18.62,1343,2.65,3
SS-B,ActiveLearning,50,0.15,0.0,0.2856,0.0,1.0,0.2167,0.0,0.4086,0.0,1.0,0.04,0.0431,0.0115,0.011,0.0698,0.0028,0.0001,0.0052,0.0,0.0169,24.27,206,1.7,2
SS-B,ActiveLearning,100,0.35,0.0,0.4323,0.0,1.0,0.4071,0.0,0.4976,0.0,1.0,0.0307,0.0429,0.0188,0.0,0.0431,0.0008,0.0001,0.0029,0.0,0.0129,48.54,206,1.8,2
SS-B,Clustering,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431,0.0431,0.0001,0.0425,0.0431,0.0002,0.0001,0.0008,0.0001,0.0035,24.27,206,1.05,2
SS-B,Clustering,100,0.025,0.0,0.1118,0.0,0.5,0.0125,0.0,0.0559,0.0,0.25,0.0421,0.0431,0.0044,0.0233,0.0431,0.0002,0.0001,0.0005,0.0001,0.0025,48.54,206,1.3,2
SS-B,Diversity,50,0.4,0.5,0.2052,0.0,0.5,0.8,1.0,0.4104,0.0,1.0,0.0416,0.0431,0.0069,0.0123,0.0431,0.0001,0.0001,0.0003,0.0001,0.0015,24.27,206,1.05,2
SS-B,Diversity,100,0.425,0.5,0.1832,0.0,0.5,0.85,1.0,0.3663,0.0,1.0,0.043,0.0431,0.0001,0.0427,0.0431,0.0001,0.0001,0.0,0.0001,0.0001,48.54,206,1.15,2
SS-B,LHS,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431,0.0431,0.0044,0.0295,0.0563,0.0004,0.0001,0.0012,0.0,0.0055,24.27,206,1.2,2
SS-B,LHS,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389,0.0431,0.0087,0.0145,0.0431,0.0009,0.0001,0.0023,0.0001,0.0105,48.54,206,1.7,2
SS-B,Random,50,0.1,0.0,0.2052,0.0,0.5,0.2,0.0,0.4104,0.0,1.0,0.0401,0.0431,0.0076,0.0158,0.0431,0.0005,0.0001,0.001,0.0001,0.0034,24.27,206,1.25,2
SS-B,Random,100,0.45,0.5,0.3591,0.0,1.0,0.65,1.0,0.4617,0.0,1.0,0.0344,0.0431,0.0177,0.0,0.0431,0.0001,0.0001,0.0,0.0,0.0002,48.54,206,1.3,2
SS-B,Sobol,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412,0.0431,0.0061,0.0175,0.0431,0.0003,0.0001,0.0006,0.0001,0.0023,24.27,206,1.2,2
SS-B,Sobol,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406,0.0431,0.0054,0.0259,0.0431,0.0004,0.0001,0.0007,0.0001,0.0025,48.54,206,1.5,2
SS-B,Stratified,50,0.175,0.0,0.2936,0.0,1.0,0.23,0.0,0.4105,0.0,1.0,0.036,0.0431,0.0122,0.0072,0.0431,0.0011,0.0001,0.0031,0.0,0.0138,24.27,206,1.85,2
SS-B,Stratified,100,0.45,0.5,0.2763,0.0,1.0,0.775,1.0,0.4128,0.0,1.0,0.0363,0.0431,0.0146,0.0,0.0431,0.0003,0.0001,0.0007,0.0,0.003,48.54,206,1.25,2
Wine_quality,ActiveLearning,50,0.0625,0.0,0.1966,0.0,0.75,0.0154,0.0,0.0535,0.0,0.2308,0.176,0.1712,0.0633,0.0584,0.3038,0.1257,0.1192,0.0796,0.0046,0.2594,3.13,1599,11.0,4
Wine_quality,ActiveLearning,100,0.3,0.125,0.3403,0.0,1.0,0.322,0.125,0.3801,0.0,1.0,0.1216,0.1166,0.054,0.0477,0.2806,0.0757,0.0527,0.0611,0.0017,0.2176,6.25,1599,5.35,4
Wine_quality,ActiveLearning,200,0.5,0.5,0.3717,0.0,1.0,0.6083,0.75,0.4189,0.0,1.0,0.0774,0.089,0.0492,0.0,0.1521,0.0357,0.0307,0.03,0.0,0.0939,12.51,1599,3.85,4
Wine_quality,ActiveLearning,250,0.5875,0.625,0.3828,0.0,1.0,0.6033,0.7083,0.4132,0.0,1.0,0.0498,0.0231,0.0553,0.0,0.154,0.0408,0.0094,0.0499,0.0,0.1283,15.63,1599,4.15,4
Wine_quality,Clustering,50,0.025,0.0,0.0769,0.0,0.25,0.0101,0.0,0.0377,0.0,0.1667,0.1661,0.1592,0.0491,0.0796,0.2578,0.0838,0.0753,0.0562,0.0042,0.2107,3.13,1599,9.75,4
Wine_quality,Clustering,100,0.1,0.0,0.1496,0.0,0.5,0.1403,0.0,0.2089,0.0,0.5,0.1332,0.1413,0.0279,0.0564,0.1672,0.0733,0.0411,0.0728,0.0001,0.1935,6.25,1599,5.4,4
Wine_quality,Clustering,200,0.35,0.25,0.1496,0.0,0.5,0.318,0.225,0.1828,0.0,0.6667,0.0874,0.0816,0.0247,0.0502,0.1409,0.0257,0.0222,0.0199,0.0051,0.095,12.51,1599,4.8,4
Wine_quality,Clustering,250,0.425,0.5,0.1175,0.25,0.5,0.3329,0.3333,0.1663,0.1111,0.6667,0.0674,0.0645,0.0166,0.0307,0.0962,0.0214,0.0193,0.0118,0.0019,0.0543,15.63,1599,5.8,4
Wine_quality,Diversity,50,0.0375,0.0,0.0916,0.0,0.25,0.0458,0.0,0.113,0.0,0.3333,0.0904,0.0781,0.0392,0.0177,0.1762,0.0577,0.0476,0.0403,0.0059,0.1535,3.13,1599,2.95,4
Wine_quality,Diversity,100,0.475,0.5,0.0769,0.25,0.5,0.6375,0.6667,0.1463,0.25,1.0,0.0445,0.0551,0.0328,0.0077,0.127,0.0338,0.0431,0.0238,0.0054,0.07,6.25,1599,3.05,4
Wine_quality,Diversity,200,0.5,0.5,0.0,0.5,0.5,0.645,0.6667,0.0686,0.4,0.6667,0.0226,0.0077,0.023,0.0077,0.0645,0.0191,0.0054,0.0213,0.0054,0.0539,12.51,1599,3.15,4
Wine_quality,Diversity,250,0.5,0.5,0.0,0.5,0.5,0.6667,0.6667,0.0,0.6667,0.6667,0.0077,0.0077,0.0,0.0077,0.0077,0.0054,0.0054,0.0,0.0054,0.0054,15.63,1599,3.0,4
Wine_quality,LHS,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402,0.1252,0.049,0.0813,0.2771,0.072,0.0541,0.0613,0.0019,0.2127,3.13,1599,6.95,4
Wine_quality,LHS,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197,0.1224,0.0278,0.0854,0.1967,0.0736,0.0875,0.0445,0.0019,0.1524,6.25,1599,6.0,4
Wine_quality,LHS,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0885,0.0172,0.0781,0.1271,0.0716,0.0642,0.0271,0.0162,0.1244,12.51,1599,5.75,4
Wine_quality,LHS,250,0.0125,0.0,0.0559,0.0,0.25,0.0167,0.0,0.0745,0.0,0.3333,0.1032,0.1018,0.0112,0.0781,0.1192,0.0784,0.0734,0.016,0.0424,0.124,15.63,1599,4.6,4
Wine_quality,Random,50,0.0625,0.0,0.1375,0.0,0.5,0.0458,0.0,0.0992,0.0,0.3333,0.1493,0.1434,0.0562,0.0457,0.2633,0.0866,0.0561,0.0807,0.0041,0.2409,3.13,1599,7.75,4
Wine_quality,Random,100,0.15,0.0,0.2487,0.0,0.75,0.1186,0.0,0.21,0.0,0.6667,0.1329,0.1255,0.0408,0.0667,0.2361,0.0916,0.0967,0.0563,0.0199,0.2126,6.25,1599,6.55,4
Wine_quality,Random,200,0.1375,0.0,0.1898,0.0,0.5,0.1646,0.0,0.2364,0.0,0.6667,0.099,0.1065,0.0445,0.0123,0.1611,0.0467,0.0308,0.0482,0.0,0.1444,12.51,1599,4.4,4
Wine_quality,Random,250,0.1875,0.25,0.2127,0.0,0.75,0.2085,0.225,0.2207,0.0,0.6667,0.0886,0.0842,0.0434,0.0077,0.1501,0.0513,0.0469,0.0329,0.0048,0.0973,15.63,1599,4.6,4
Wine_quality,Sobol,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1315,0.1175,0.061,0.0759,0.3544,0.0545,0.0304,0.072,0.0019,0.2944,3.13,1599,6.45,4
Wine_quality,Sobol,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1215,0.1145,0.033,0.0803,0.2151,0.0616,0.0384,0.0625,0.0019,0.1869,6.25,1599,6.3,4
Wine_quality,Sobol,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0991,0.0979,0.0168,0.0781,0.1415,0.0882,0.0803,0.0244,0.0593,0.124,12.51,1599,5.0,4
Wine_quality,Sobol,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.1028,0.0099,0.0781,0.1271,0.0819,0.0803,0.0162,0.0593,0.1293,15.63,1599,4.85,4
Wine_quality,Stratified,50,0.125,0.0,0.2068,0.0,0.5,0.1,0.0,0.1611,0.0,0.4,0.1463,0.1346,0.0626,0.0621,0.293,0.0842,0.0426,0.0911,0.0034,0.3251,3.13,1599,6.9,4
Wine_quality,Stratified,100,0.125,0.0,0.2628,0.0,1.0,0.0875,0.0,0.1653,0.0,0.5,0.1397,0.1195,0.0602,0.0558,0.2728,0.0952,0.0873,0.0628,0.0127,0.213,6.25,1599,5.3,4
Wine_quality,Stratified,200,0.1875,0.0,0.2795,0.0,1.0,0.1471,0.0,0.1916,0.0,0.5,0.1158,0.1151,0.0377,0.0665,0.1982,0.1021,0.1012,0.0613,0.0044,0.2164,12.51,1599,5.5,4
Wine_quality,Stratified,250,0.25,0.25,0.2294,0.0,0.75,0.2493,0.2222,0.2452,0.0,0.75,0.089,0.0963,0.0347,0.0231,0.1347,0.0684,0.0569,0.041,0.0134,0.1516,15.63,1599,5.6,4
auto93,ActiveLearning,50,0.3,0.2692,0.2041,0.0,0.6154,0.2622,0.2427,0.1866,0.0,0.6667,0.1968,0.1463,0.0959,0.1196,0.3756,0.0702,0.0517,0.0568,0.0054,0.2299,12.56,398,21.4,13
