method,sample_size,recall_mean,recall_std,precision_mean,precision_std,igd_mean,igd_std,hv_diff_mean,hv_diff_std
ActiveLearning,50,0.1388,0.2071,0.1425,0.2324,0.1526,0.1121,0.0919,0.1172
ActiveLearning,100,0.2209,0.2689,0.2265,0.2954,0.1203,0.0891,0.0614,0.0804
ActiveLearning,200,0.2912,0.246,0.3283,0.3054,0.0969,0.0726,0.0506,0.05
ActiveLearning,250,0.3597,0.2608,0.397,0.3091,0.0801,0.0701,0.048,0.05
Clustering,50,0.1008,0.1614,0.0882,0.1483,0.138,0.1035,0.0728,0.1067
Clustering,100,0.1433,0.1451,0.2057,0.2315,0.1191,0.0798,0.0584,0.0765
Clustering,200,0.436,0.1769,0.3996,0.2138,0.1072,0.0618,0.0367,0.0418
Clustering,250,0.5125,0.1823,0.5006,0.2928,0.093,0.0568,0.0466,0.0417
Diversity,50,0.155,0.1782,0.255,0.3277,0.1235,0.0914,0.066,0.0902
Diversity,100,0.2716,0.2183,0.439,0.3479,0.1,0.0785,0.0509,0.0616
Diversity,200,0.3588,0.2082,0.4631,0.2808,0.0836,0.0657,0.0461,0.0481
Diversity,250,0.4085,0.2113,0.5271,0.2814,0.0647,0.0612,0.0454,0.0483
LHS,50,0.0957,0.1447,0.1106,0.1805,0.1528,0.1081,0.0857,0.1087
LHS,100,0.1277,0.1842,0.149,0.2084,0.1178,0.0794,0.0561,0.0664
LHS,200,0.2148,0.2181,0.2557,0.2524,0.1022,0.0643,0.0555,0.0427
LHS,250,0.2942,0.2666,0.3706,0.3409,0.0957,0.0598,0.058,0.0419
Random,50,0.1427,0.1728,0.1668,0.2434,0.1325,0.0972,0.0757,0.1043
Random,100,0.245,0.2436,0.3067,0.3227,0.115,0.0823,0.0641,0.0803
Random,200,0.3185,0.2309,0.385,0.2752,0.0943,0.0637,0.044,0.0458
Random,250,0.3814,0.2527,0.4558,0.2904,0.0878,0.0654,0.0434,0.0427
Sobol,50,0.1049,0.1539,0.1003,0.1475,0.1466,0.1019,0.081,0.1053
Sobol,100,0.0982,0.1234,0.1404,0.1848,0.1286,0.085,0.0556,0.0681
Sobol,200,0.2133,0.1998,0.2749,0.276,0.1062,0.063,0.0644,0.0501
Sobol,250,0.2832,0.2662,0.338,0.3154,0.0949,0.0578,0.0586,0.042
Stratified,50,0.1785,0.2045,0.1922,0.2551,0.136,0.1019,0.0783,0.1131
Stratified,100,0.2393,0.229,0.3075,0.331,0.113,0.0796,0.0594,0.072
Stratified,200,0.2915,0.2259,0.3347,0.2625,0.1022,0.0691,0.0538,0.0576
Stratified,250,0.396,0.2204,0.4618,0.2546,0.0814,0.0626,0.0473,0.0454
