method,sample_size,recall_mean,recall_std,precision_mean,precision_std,igd_mean,igd_std,hv_diff_mean,hv_diff_std
ActiveLearning,50,0.165,0.2595,0.2271,0.3276,0.1382,0.1652,0.1221,0.1665
ActiveLearning,100,0.2347,0.2827,0.38,0.3981,0.0821,0.1008,0.074,0.1324
ActiveLearning,200,0.3493,0.336,0.5308,0.4274,0.0553,0.0696,0.0371,0.0818
ActiveLearning,250,0.4083,0.3623,0.6175,0.4196,0.0518,0.0722,0.0253,0.0624
Clustering,50,0.2353,0.2906,0.2019,0.311,0.1229,0.1563,0.1502,0.2345
Clustering,100,0.274,0.3217,0.3817,0.403,0.128,0.1856,0.1055,0.1884
Clustering,200,0.2809,0.3185,0.4583,0.3937,0.0915,0.1185,0.041,0.0946
Clustering,250,0.3421,0.3363,0.5115,0.3892,0.0773,0.0957,0.0314,0.0651
Diversity,50,0.1251,0.1385,0.3375,0.3477,0.1113,0.112,0.0475,0.0612
Diversity,100,0.1636,0.1818,0.3435,0.3568,0.1036,0.1065,0.0476,0.0525
Diversity,200,0.2656,0.2688,0.4187,0.3738,0.0509,0.0596,0.0252,0.045
Diversity,250,0.2867,0.2539,0.3957,0.356,0.0493,0.0584,0.0212,0.0383
LHS,50,0.1162,0.1627,0.2275,0.33,0.1239,0.1488,0.1095,0.179
LHS,100,0.1346,0.1778,0.275,0.3586,0.0948,0.1164,0.074,0.1358
LHS,200,0.2254,0.2522,0.3973,0.397,0.0663,0.0778,0.0231,0.041
LHS,250,0.246,0.252,0.3862,0.3914,0.0631,0.0774,0.0216,0.0384
Random,50,0.1586,0.246,0.2032,0.308,0.1504,0.1626,0.1532,0.2077
Random,100,0.2298,0.2709,0.2905,0.3454,0.1187,0.1444,0.126,0.1779
Random,200,0.2334,0.2483,0.312,0.3501,0.0995,0.1269,0.1067,0.1689
Random,250,0.2543,0.2429,0.3379,0.365,0.0922,0.1194,0.0902,0.1636
Sobol,50,0.1076,0.1755,0.2089,0.3368,0.1191,0.1497,0.1189,0.1911
Sobol,100,0.1332,0.1705,0.3009,0.3758,0.0926,0.1161,0.0602,0.1227
Sobol,200,0.2135,0.232,0.3733,0.3994,0.0716,0.087,0.0314,0.0668
Sobol,250,0.2482,0.2556,0.408,0.4039,0.0669,0.0786,0.0215,0.0381
Stratified,50,0.1575,0.2368,0.2063,0.3149,0.1335,0.1565,0.1384,0.195
Stratified,100,0.179,0.2217,0.2385,0.3121,0.113,0.1414,0.117,0.168
Stratified,200,0.2347,0.2383,0.3565,0.3817,0.0941,0.131,0.0921,0.1559
Stratified,250,0.2514,0.2425,0.344,0.3588,0.0776,0.1,0.0717,0.1291
