rank,title,authors,year,citations,venue,has_pdf,paperId
1,The Oracle Problem in Software Testing: A Survey,"Earl T. Barr, M. Harman, Phil McMinn et al.",2015,1040,IEEE Transactions on Software Engineering,True,0e17ab6c9d31a481c641f2b1760e09ea51ab76cc
2,Using bad learners to find good configurations,"V. Nair, T. Menzies, Norbert Siegmund et al.",2017,141,ESEC/SIGSOFT FSE,True,bcdc23c039c2bdeb74792a7cb752a28ad17e25a4
3,Finding Faster Configurations Using FLASH,"V. Nair, Zhe Yu, T. Menzies et al.",2018,138,IEEE Transactions on Software Engineering,True,9eb6bde06c8f943afa3244a9529d5102cb87d456
4,Handling Class-Imbalance with KNN (Neighbourhood) Under-Sampling for Software Defect Prediction,Somya Goyal,2021,122,Artificial Intelligence Review,False,2088c5b021f0f62f06e33f8b428a9123c3a8abfb
5,A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering,"Shuai Wang, Shaukat Ali, T. Yue et al.",2016,117,International Conference on Software Engineering,True,4c75c109e9abadd5498f5ae92fe3a1738a05f23b
6,How to Evaluate Solutions in Pareto-Based Search-Based Software Engineering: A Critical Review and Methodological Guidance,"Tao Chen, M. Li, Xin Yao",2020,98,IEEE Transactions on Software Engineering,False,3587d2d031e53a5455d9bc6f023aece5c6a61f64
7,Learning to sample: exploiting similarities across environments to learn performance models for configurable systems,"Pooyan Jamshidi, Miguel Velez, Christian Kästner et al.",2018,89,ESEC/SIGSOFT FSE,True,8e598e31568b88ce222be09e65e3564b1d55321b
8,A survey of many-objective optimisation in search-based software engineering,"A. Ramírez, J. Romero, Sebastián Ventura",2019,89,Journal of Systems and Software,False,ce4d653a8aa1eefd7953a37a7a3691a18fc3a8d1
9,“Sampling” as a Baseline Optimizer for Search-Based Software Engineering,"Jianfeng Chen, V. Nair, R. Krishna et al.",2016,70,IEEE Transactions on Software Engineering,True,7bc66121b85df0788061f35ee2f0b67a54b2e55a
10,Faster discovery of faster system configurations with spectral learning,"V. Nair, T. Menzies, Norbert Siegmund et al.",2017,70,International Conference on Automated Software Engineering,True,64c060de8b5b4128cca1636d3770e578c5007f74
11,A holistic review on artificial intelligence techniques for well placement optimization problem,"Jahedul Islam, P. Vasant, B. Negash et al.",2020,69,Advances in Engineering Software,True,9bb0d290e311fd7b545622e7e61bef15b26c3c8b
12,Practitioners' Expectations on Automated Code Comment Generation,"Xing Hu, Xin Xia, D. Lo et al.",2022,66,International Conference on Software Engineering,True,68c04c8b2af2ea2b406fc6065fa2b854fb5cc3e4
13,The Interplay of Sampling and Machine Learning for Software Performance Prediction,"Christian Kaltenecker, A. Grebhahn, Norbert Siegmund et al.",2020,57,IEEE Software,False,efed8bf738744bd802e901725ccf401ae3a1ba18
14,Uniform Random Sampling Product Configurations of Feature Models That Have Numerical Features,"Daniel-Jesus Munoz, Jeho Oh, M. Pinto et al.",2019,57,Software Product Lines Conference,False,bc4cd3ba7f0ec1d22de1ad94cea41ebccefb0a61
15,Effective software defect prediction using support vector machines (SVMs),Somya Goyal,2021,45,International Journal of System Assurance Engineering and Management,False,7f6e074341b92e88a45683ea9292a9385397d92c
16,Predicting continuous integration build failures using evolutionary search,"Islem Saidani, Ali Ouni, Moataz Chouchen et al.",2020,44,Information and Software Technology,False,18654758c81428807a62f6cf505e383dc1607b2d
17,How Far Have We Progressed in Identifying Self-admitted Technical Debts? A Comprehensive Empirical Study,"Zhaoqiang Guo, Shiran Liu, Jinping Liu et al.",2021,43,ACM Transactions on Software Engineering and Methodology,False,e94d40478e7d211975a6484b08752853c5c17f21
18,An Active Learning Approach for Improving the Accuracy of Automated Domain Model Extraction,"Chetan Arora, M. Sabetzadeh, S. Nejati et al.",2019,39,ACM Transactions on Software Engineering and Methodology,False,abcad78d2dba846e7c02ab853f86fbb258ad9952
19,Whence to Learn? Transferring Knowledge in Configurable Systems Using BEETLE,"R. Krishna, V. Nair, Pooyan Jamshidi et al.",2019,35,IEEE Transactions on Software Engineering,False,11acd89b85610c6d5f86d00f235fbdc9c95fe2ac
20,TSI: Time series to imaging based model for detecting anomalous energy consumption in smart buildings,"Muhammad Fahim, Khadija Fraz, A. Sillitti",2020,31,Information Sciences,True,ff6df9d009ecc6bb4c648a258b3437fa9dacc15c
21,Robust admissibility and stabilization of uncertain singular fractional-order linear time-invariant systems,"Saliha Marir, M. Chadli",2019,29,IEEE/CAA Journal of Automatica Sinica,True,593489562b864de1470015d5cc89297a8c675a3d
22,Predicting the Defects using Stacked Ensemble Learner with Filtered Dataset,Somya Goyal,2021,20,International Conference on Automated Software Engineering,False,e3e9b486dd402589043dbe577b36ac18e598bf16
23,The contribution that empirical studies performed in industry make to the findings of systematic reviews: A tertiary study,"D. Budgen, P. Brereton, N. Williams et al.",2018,19,Information and Software Technology,True,296061d75e42f401e4b51416dbf9a51d7ad5b3a6
24,Identifying Solidity Smart Contract API Documentation Errors,Chenguang Zhu,2022,19,International Conference on Automated Software Engineering,True,2ca55fb4bbb1fd7785434c121d994a42ec008108
25,GenCoG: A DSL-Based Approach to Generating Computation Graphs for TVM Testing,"Zihan Wang, Pengbo Nie, Xinyuan Miao et al.",2023,18,International Symposium on Software Testing and Analysis,True,e8c4ceac31b1296d6d9e212952a18cf9600f3c27
